Employee_id,Preferred_Name,Work_Email,Is_Currently_Active,Business_Title,Job_Family_Group,Job_Family,Manager_ID,Hire_Date,Termination_Date,location_ref_id
30274,Al Hand,al.hand@monks.test,0,,,,,09-04-2023,09-12-2023,
99999101,Sister Kreiger,sister.kreiger@monks.test,1,International Media Specialist,,,null,02-08-2022,,LOC_Sao Carlos
99999103,Sincere Miller,sincere.miller@monks.test,1,International Media Analyst,,,null,04-12-2022,,LOC_Sao Carlos
99999102,Skyla Bernhard,skyla.bernhard@monks.test,1,International Media Specialist,,,null,5/17/2022,,LOC_Sao Carlos
11714,Colton Wisozk,colton.wisozk@monks.test,0,Account Manager II,,,11004,10/30/2017,2/16/2018,
11706,Cielo Padberg,cielo.padberg@monks.test,0,Senior PPC Manager,,,11004,5/15/2017,10/18/2017,
11707,Cierra Wisoky,cierra.wisoky@monks.test,0,Account Manager III,,,11004,5/17/2017,8/22/2017,
11195,Ricardo Parker,ricardo.parker@monks.test,0,Account Manager,,,11092,11/29/2018,02-11-2019,LOC_Toronto
11709,Christy Gleichner,christy.gleichner@monks.test,0,Business Manager,,,11092,6/19/2017,01-03-2020,
11192,Milton Hoppe,milton.hoppe@monks.test,0,"Technical Solutions Engineer, Media",,,11092,11/13/2018,12/30/2020,LOC_San Francisco
11013,Monica Rohan,monica.rohan@monks.test,0,Director of Sales,,,11092,8/17/2015,8/18/2019,LOC_New York
11164,Myrna Bednar,myrna.bednar@monks.test,0,Associate Account Manager,,,11092,09-10-2018,06-07-2019,LOC_San Francisco
11440,Misty Heaney,misty.heaney@monks.test,0,Senior Account Manager,,,11092,02-03-2020,6/22/2020,LOC_San Francisco
11128,Nakia Waters,nakia.waters@monks.test,0,Analytics Specialist,,,11092,07-09-2018,09-04-2020,LOC_New York
11014,Mollie Blick,mollie.blick@monks.test,0,Senior Director of Sales,,,11092,01-04-2016,06-06-2019,LOC_US Remote
11160,Nash McClure,nash.mcclure@monks.test,0,Account Manager,,,11092,09-10-2018,8/16/2019,LOC_San Francisco
11696,Asia Wunsch,asia.wunsch@monks.test,0,Analyst,,,11092,9/30/2020,12-04-2020,LOC_Melbourne 1
11172,Gino Johns,gino.johns@monks.test,0,Technical Solutions Engineer,,,11092,10-01-2018,2/14/2020,LOC_Tokyo
11730,Christiana Beatty,christiana.beatty@monks.test,0,Advertising Manager,,,11092,01-02-2019,01-03-2020,
11507,Mia Doyle,mia.doyle@monks.test,0,Analytics Consultant,,,11092,5/26/2020,12/31/2020,LOC_Buenos Aires
11321,King Denesik,king.denesik@monks.test,0,Account Manager,,,11092,4/26/2019,09-04-2019,LOC_São Paulo
11152,Naomi Bednar,naomi.bednar@monks.test,0,Account Manager,,,11092,09-10-2018,01-08-2021,LOC_New York
11396,Yvonne Bradtke,yvonne.bradtke@monks.test,0,Analytics Lead,,,11092,10/28/2019,5/22/2020,LOC_Seoul
11703,Chauncey Tremblay,chauncey.tremblay@monks.test,0,Director of Business Intelligence,,,11092,02-06-2017,01-02-2019,
11322,Kristian Lang,kristian.lang@monks.test,0,Account Manager,,,11092,4/26/2019,04-09-2020,LOC_São Paulo
11571,Loraine Aufderhar,loraine.aufderhar@monks.test,0,Associate Account Manager,,,11092,9/21/2020,11-06-2020,LOC_Shanghai
11085,Myrtis Terry,myrtis.terry@monks.test,0,Senior Account Manager,,,11092,01-10-2018,07-03-2019,LOC_San Francisco
11140,Thomas Nader,thomas.nader@monks.test,0,Corporate Operations Manager (EMEA),,,11092,10/28/2019,12/31/2020,LOC_London
11197,Dee Fay,dee.fay@monks.test,0,Account Manager,,,11092,11/19/2018,10/31/2019,LOC_Jakarta
11163,Napoleon Orn,napoleon.orn@monks.test,0,Account Manager,,,11092,09-10-2018,5/20/2020,LOC_San Francisco
11080,Tianna Terry,tianna.terry@monks.test,0,"Managing Director of Sales, EMEA",,,11092,11/16/2017,4/24/2019,LOC_London
11708,Christopher Thiel,christopher.thiel@monks.test,0,Senior Advertising Manager,,,11092,5/22/2017,5/22/2020,
11282,Gina Kulas,gina.kulas@monks.test,0,Digital Analytics Specialist,,,11092,02-01-2019,1/29/2021,LOC_Tokyo
11620,Clarabelle Barton,clarabelle.barton@monks.test,0,Account Manager II,,,11092,8/31/2020,12-11-2020,
11722,Mina Hackett,mina.hackett@monks.test,0,Assistant Account Manager,,,11092,3/28/2018,10-01-2019,LOC_US Remote
11203,River Anderson,river.anderson@monks.test,0,Team Lead,,,11092,11/19/2018,11-05-2019,LOC_Toronto
11064,Morris Welch,morris.welch@monks.test,0,Project Lead,,,11092,7/31/2017,01-10-2020,LOC_San Francisco
11829,Mozelle Veum,mozelle.veum@monks.test,0,"Account Manager, Social",,,11092,12-07-2020,12/17/2020,LOC_New York
