employee_id,work_email,preferred_name,team_name,is_owner,owner_ids
23600,cary.mann@monks.test,Cary Mann,Growth Hackers,FALSE,23487
,,,,,23582
,,,,,23593
,,,,,23511
,,,,,31409
,,,,,25398
,,,,,30520
,,,,,23638
,,,,,23644
,,,,,23590
,,,,,23621
,,,,,30175
,,,,,23612
,,,,,23505
,,,,,27052
,,,,,23498
,,,,,23553
,,,,,23581
,,,,,23483
,,,,,23618
,,,,,23585
,,,,,23557
50037,dina.bins@monks.test,Dina Bins,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
23326,lou.upton@monks.test,Lou Upton,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
30504,lou.white@monks.test,Lou White,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
25033,loy.jones@monks.test,Loy Jones,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
11535,loy.purdy@monks.test,Loy Purdy,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
21756,luis.mohr@monks.test,Luis Mohr,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
20444,lulu.auer@monks.test,Lulu Auer,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
26637,matt.howe@monks.test,Matt Howe,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
21757,mina.koch@monks.test,Mina Koch,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
31135,myah.veum@monks.test,Myah Veum,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
20106,nash.wiza@monks.test,Nash Wiza,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
11495,nat.kling@monks.test,Nat Kling,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
20431,neal.veum@monks.test,Neal Veum,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
24911,neha.west@monks.test,Neha West,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
26728,nelda.rau@monks.test,Nelda Rau,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
31876,neva.ryan@monks.test,Neva Ryan,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
30189,oda.adams@monks.test,Oda Adams,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
30189,oda.adams@monks.test,Oda Adams,Social Strategies,FALSE,20245
24846,olga.moen@monks.test,Olga Moen,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
21810,olin.hahn@monks.test,Olin Hahn,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
30072,onie.rath@monks.test,Onie Rath,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
23381,ora.bosco@monks.test,Ora Bosco,Social Strategies,FALSE,20245
23381,ora.bosco@monks.test,Ora Bosco,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
23381,ora.bosco@monks.test,Ora Bosco,Research Rangers,FALSE,11181
25567,ora.kiehn@monks.test,Ora Kiehn,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
21647,oral.moen@monks.test,Oral Moen,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
11219,oran.veum@monks.test,Oran Veum,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
11219,oran.veum@monks.test,Oran Veum,Brand Builders,FALSE,11066
24765,orie.rath@monks.test,Orie Rath,Strategy Specialists,FALSE,11066
24765,orie.rath@monks.test,Orie Rath,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
24765,orie.rath@monks.test,Orie Rath,Social Strategies,FALSE,20245
26274,orin.bins@monks.test,Orin Bins,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
21730,orin.mohr@monks.test,Orin Mohr,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
11637,orin.rath@monks.test,Orin Rath,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
11505,ova.bayer@monks.test,Ova Bayer,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
21463,ova.fadel@monks.test,Ova Fadel,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
21461,ova.ratke@monks.test,Ova Ratke,Automated Innovators,FALSE,11066
,,,,,28299
,,,,,11100
23110,raul.hand@monks.test,Raul Hand,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
27770,raul.mraz@monks.test,Raul Mraz,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
23174,ray.haley@monks.test,Ray Haley,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
21727,ray.hauck@monks.test,Ray Hauck,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
23325,ray.lynch@monks.test,Ray Lynch,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
23108,reta.kihn@monks.test,Reta Kihn,Insight Innovators,FALSE,11032
,,,,,11558
,,,,,11110
,,,,,11042
,,,,,11023
,,,,,20245
,,,,,20355
